sampleName,path
CID004446-2,/gpfs/data/tsirigoslab/home/upadhd02/06_LUAD_CellRanger/Data/cellranger.7.0.1/CID004446-2/CID004446-2/outs
CID004447-1,/gpfs/data/tsirigoslab/home/upadhd02/06_LUAD_CellRanger/Data/cellranger.7.0.1/CID004447-1/CID004447-1/outs
